ITEMCODE,ITEMNAME,COMPANY,PROFITPERC,DISCOUNTPE,ICHARGES,SHORTNAME,SELECTED,SALEAC,PURAC,CSTSALE,QTYRATE,UNIT,PACKINGPC,WEIGHT,EXCISEPC,EXCISETYPE,GROUPCODE,ITEMDESC1,ITEMDESC2,TAXONSPMRP,INCLUSIVE,MINIMUMSTO,MAXIMUMSTO,SALETAXPE,NARCOTIC,BIGUNIT,UPCCODE,LOCATION,DPCOACT,HONESCHEDU,IUCCODE,SAPCODE,BARCODE,HSNCODE,ADDITIONCE
93,ANANAS SAT        30 30ML,2,0.00,0.00,0.00,WSI -107,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
94,ANATHERUM MUR     30 30ML,2,0.00,0.00,0.00,WSI -108,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
95,ANCHUSA OFF       30 30ML,2,0.00,0.00,0.00,WSI -109,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
96,ANDROGRAPHIS PAN  30 30ML,2,0.00,0.00,0.00,WSI -110,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
97,ANEMONE NEM       30 30ML,2,0.00,0.00,0.00,WSI -111,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
98,ANGELICA ARC      30 30ML,2,0.00,0.00,0.00,WSI -112,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
99,ANGUSTURA         30 30ML,2,0.00,0.00,0.00,WSI -113,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
100,ANHALONIUM LEW    30 30ML,2,0.00,0.00,0.00,WSI -114,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
101,ANILINUM          30 30ML,2,0.00,0.00,0.00,WSI -115,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
102,ANTHAMANTHA ORE   30 30ML,2,0.00,0.00,0.00,WSI -116,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
103,ANTHEMIS NOB      30 30ML,2,0.00,0.00,0.00,WSI -117,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
104,ANTHRACINUM       30 30ML,2,0.00,0.00,0.00,WSI -118,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
105,ANTIMONIUM ARS    30 30ML,2,0.00,0.00,0.00,WSI -119,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
106,ANTIMONIUM CRU    30 30ML,2,0.00,0.00,0.00,WSI -121,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
107,ANTIMONIUM IOD    30 30ML,2,0.00,0.00,0.00,WSI -122,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
108,ANTIMONIUM MUR    30 30ML,2,0.00,0.00,0.00,WSI -123,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
109,ANTIMONIUM OXI    30 30ML,2,0.00,0.00,0.00,WSI -124,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
110,ANTIMONIUM SUL    30 30ML,2,0.00,0.00,0.00,WSI -125,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
111,ANTIMONIUM TART   30 30ML,2,0.00,0.00,0.00,WSI -126,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
112,ANTIPYRINUM       30 30ML,2,0.00,0.00,0.00,WSI -127,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
113,APISINUM          30 30ML,2,0.00,0.00,0.00,WSI -129,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
114,APIUM GRA         30 30ML,2,0.00,0.00,0.00,WSI -130,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
115,APOCYNUM AND      30 30ML,2,0.00,0.00,0.00,WSI -131,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
116,APOCYNUM CAN      30 30ML,2,0.00,0.00,0.00,WSI -132,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
117,APOMORPHINUM MUR  30 30ML,2,0.00,0.00,0.00,WSI -133,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
118,ARALIA RAC        30 30ML,2,0.00,0.00,0.00,WSI -134,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
119,ARANEA DIA        30 30ML,2,0.00,0.00,0.00,WSI -135,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
