GENTIANA LUT,GENTIANA LUTEA
GERANIUM MAC,GERANIUM MACULATUM
GERANIUM ROB,GERANIUM ROBERTIANUM
GEUM RIV,GEUM RIVALE
GEUM URB,GEUM URBANUM
GINKGO BIL,GINKGO BILOBA
GINSENG,GINSENG
GLANDULAE THY,GLANDULAE THYMI
GLECHOMA HED,GLECHOMA HEDERACEA
GLONOINUM,GLONOINUM
GLYCYRRHIZA GLA,GLYCYRRHIZA GLABRA
GNAPHALIUM LEO,GNAPHALIUM LEONTOPODIUM
GNAPHALIUM POL,GNAPHALIUM POLYCEPHALUM
GRATIOLA OFF,GRATIOLA OFFICINALIS
GOSSYPIUM HER,GOSSYPIUM HERBACEUM
GRANATUM,GRANATUM
GRAPHITES,GRAPHITES
GRINDELIA ROB,GRINDELIA ROBUSTA
GRINDELA SQU,GRINDELA SQUARROSA
GUACO,GUACO
GUAIACUM,GUAIACUM
GUARANA,GUARANA
GUAREA TRI,GUAREA TRICHILOIDES
GUN POWDER,GUN POWDER
GYMNEMA SYL,GYMNEMA SYLVESTRE
GYMNOCLADUS CAN,GYMNOCLADUS CANADENSIS
HAEMATOXYLON CAM,HAEMATOXYLON CAMPACHIANUM
HAMAMELIS VIR,HAMAMELIS VIRGINICA
HAPLOPAPPUS BAY,HAPLOPAPPUS BAYLAHUEN
HARUNGANA MAD,HARUNGANA MADAGASCARIENSIS
HARPAGOPHYTUM PR,HARPAGOPHYTUM PROCUMBENS
HEDEOMA PUL,HEDEOMA PULEGIOIDES
HEDERA HEL,HEDERA HELIX
HEKLA LAV,HEKLA LAVA
HELIANTHUS ANN,HELIANTHUS ANNUUS
HELIOTROPIUM PER,HELIOTROPIUM PERUVIANUM
HELLEBORUS FOE,HELLEBORUS FOETIDUS
HELLEBORUS NIG,HELLEBORUS NIGER
HELLEBORUS VIR,HELLEBORUS VIRIDIS
HELODERMA,HELODERMA
HELONIAS DIO,HELONIAS DIOICA
HEMIDESMUS IND,HEMIDESMUS INDICA
HEPAR SUL,HEPAR SULPHUR
HEPAR SUL KALI,HEPAR SULPHUR KALINUM
HEPATICA TRI,HEPATICA TRILOBA
HERNIARIA GLA,HERNIARIA GLABRA
HIPPOMANES,HIPPOMANES
HISTAMINUM HYD,HISTAMINUM HYDROCHLORICUM
HOANG NAN,HOANG NAN
HOLARRHENA ANT,HOLARRHENA ANTIDYSENTERICA
HYDRANGEA ARB,HYDRANGEA ARBORESCENS
HYDRASTIS CAN,HYDRASTIS CANADENSIS
HYDRASTININUM MU,HYDRASTININUM MURIATICUM
HYDROCOTYLE ASI,HYDROCOTYLE ASIATICA
HYDROPIPER,HYDROPIPER
HYGROPHILLA SPI,HYGROPHILLA SPINOSA
HYOSCYAMINUM,HYOSCYAMINUM
IBERIS AMA,IBERIS AMARA
ICHTHYOLUM,ICHTHYOLUM
IGNATIA AMA,IGNATIA AMARA
ILEX AQU,ILEX AQUIFOLIUM
ILEX PAR,ILEX PARAGUAYENSIS
ILLICIUM ANI,ILLICIUM ANISATUM
INDIGO,INDIGO
INDIUM MET,INDIUM METALLICUM
INDOLUM,INDOLUM
INFLUENZINUM,INFLUENZINUM
INULA,INULA
IODIUM,IODIUM
IODOFORMUM,IODOFORMUM
IRIDIUM MET,IRIDIUM METALLICUM
IRIS FOE,IRIS FOETIDISSIMA
IRIS GER,IRIS GERMANICA
IRIS TEN,IRIS TENAX
IRIS VER,IRIS VERSICOLOR
JABORANDI,JABORANDI
JACARANDA CAR,JACARANDA CAROBA
JALAPA,JALAPA
JANOSIA ASHOK,JANOSIA ASHOKA
JASMINUM OFF,JASMINUM OFFICINALE
JATROPHA CUR,JATROPHA CURCAS
JEQUIRITY,JEQUIRITY
JUGLANS CIN,JUGLANS CINEREA
JUGLANS REG,JUGLANS REGIA
JUNCUS EFF,JUNCUS EFFUSUS
JUNIPERUS COM,JUNIPERUS COMMUNIS
JUNIPERUS VIR,JUNIPERUS VIRGINIANA
JUSTICIA ADH,JUSTICIA ADHATODA
KALI ACE,KALI ACETICUM
KALI ARS,KALI ARSENICOSUM
KALI BICHR,KALI BICHROMICUM
KALI BROM,KALI BROMATUM
KALI CARB,KALI CARBONICUM
KALI CAU,KALI CAUSTICUM
KALI CHLOR,KALI CHLORICUM
KALI CHROM,KALI CHROMICUM 
KALI CIT,KALI CITRICUM
KALI CYA,KALI CYANATUM
KALI FER,KALI FERROCYANATUM
KALI MUR,KALI MURIATICUM
KALI NIT,KALI NITRICUM
KALI OXA,KALI OXALICUM
KALI PHOS,KALI PHOSPHORICUM
KALI PIC,KALI PICRICUM
KALI SUL,KALI SULPHURICUM
KALI TAR,KALI TARTARICUM
KALMIA LAT,KALMIA LATIFOLIA
KAMALA,KAMALA
KAOLINUM(ALUM SI),KAOLINUM(ALUMINA SILICATA)
KHELLINUM,KHELLINUM
KINO,KINO
KNAUTIA ARV,KNAUTIA ARVENSIS
KOUSSO,KOUSSO
KREOSOTUM,KREOSOTUM
LABURNUM ANA,LABURNUM ANAGYROIDES
